year,month,date,stock_code,stock_name,momentum_score,monthly_return
2025,6,2025-06-03,605499,东鹏饮料,97.41527313266442,-2.0252209188968195
2025,6,2025-06-03,601077,渝农商行,97.33110367892976,-6.422018348623859
2025,6,2025-06-03,600000,浦发银行,96.49442586399108,11.046990931574596
2025,6,2025-06-03,302132,中航成飞,95.73857302118171,14.34143804446757
2025,6,2025-06-03,601319,中国人保,95.07051282051283,4.756097560975614
2025,6,2025-06-03,601825,沪农商行,94.57134894091416,0.31023784901758056
2025,6,2025-06-03,000963,华东医药,93.98467112597548,-8.168373151308316
2025,6,2025-06-03,601166,兴业银行,93.65830546265327,3.0463576158940464
2025,6,2025-06-03,600919,江苏银行,93.15886287625418,7.911683532658698
2025,6,2025-06-03,603259,药明康德,92.07636566332219,7.879633938265851
2025,6,2025-06-03,601838,成都银行,91.48132664437013,4.288816503800219
2025,6,2025-06-03,600926,杭州银行,90.98021181716834,0.1210653753026536
2025,6,2025-06-03,601229,上海银行,90.90969899665552,-1.7592592592592715
2025,6,2025-06-03,002311,海大集团,90.31103678929766,-4.731707317073164
2025,6,2025-06-03,002352,顺丰控股,89.31326644370122,1.7691659646166924
2025,6,2025-06-03,601998,中信银行,89.13935340022297,3.3498759305210957
2025,6,2025-06-03,600039,四川路桥,86.80546265328874,6.726457399103136
2025,6,2025-06-03,688506,百利天恒,86.49358974358974,1.22030422150059
2025,6,2025-06-03,600276,恒瑞医药,86.22129319955407,-5.430029154518956
2025,6,2025-06-03,301269,华大九天,85.21989966555184,-4.934387230450465
2025,6,2025-06-03,300502,新易盛,84.95122630992196,47.08198239925891
2025,6,2025-06-03,601009,南京银行,84.04710144927536,3.1971580817051537
2025,6,2025-06-03,601336,新华保险,83.4799331103679,15.162013450173205
2025,6,2025-06-03,600760,中航沈飞,83.37290969899666,18.712029161603883
2025,6,2025-06-03,600016,民生银行,83.30239687848383,6.108597285067874
2025,6,2025-06-03,601916,浙商银行,83.29208472686733,8.653846153846146
2025,6,2025-06-03,600036,招商银行,83.15022296544035,4.717655468191584
2025,6,2025-06-03,688008,澜起科技,82.56967670011149,1.5857284440039754
2025,6,2025-06-03,601919,中远海控,82.53483835005574,-0.987491770901916
2025,7,2025-07-01,300502,新易盛,98.16109253065775,48.75000000000001
2025,7,2025-07-01,002074,国轩高科,97.91248606465997,-7.5877331647170365
2025,7,2025-07-01,600415,小商品城,96.74944258639911,9.624292331446217
2025,7,2025-07-01,600000,浦发银行,96.74665551839465,-6.971677559912848
2025,7,2025-07-01,000408,藏格矿业,95.91164994425864,5.462474179481291
2025,7,2025-07-01,302132,中航成飞,95.66471571906354,-1.5008726003490458
2025,7,2025-07-01,603799,华友钴业,93.66276477146043,16.01890756302522
